Match Num,Team,Number,Name,Points Scored,Attacks Won,Attacks Attempted,Blocks Won,Blocks Attempted,Serves Won,Serves Attempted
1,USA,11,Andrea Drews,15,12,22,1,12,2,10
1,USA,10,Jordan Larson,14,10,23,1,3,3,15
1,USA,24,Chiaka Ogbogu,12,9,11,3,15,0,9
1,USA,23,Kelsey Robinson,11,10,19,0,1,1,10
1,USA,22,Haleigh Washington,3,3,5,0,4,0,8
1,USA,25,Karsta Lowe,3,3,4,0,1,0,0
1,USA,2,Jordyn Poulter,2,0,1,1,3,1,19
1,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
1,USA,6,Tetori Dixon,0,0,0,0,0,0,0
1,USA,7,Lauren Carlini,0,0,0,0,0,0,2
1,USA,14,Michelle Bartsch-Hackley,0,0,0,0,0,0,0
1,USA,15,Kimberly Hill,0,0,0,0,0,0,0
1,USA,17,Megan Courtney,0,0,0,0,0,0,0
1,USA,19,Hannah Tapp,0,0,0,0,0,0,0
9,USA,22,Haleigh Washington,16,11,19,5,18,0,14
9,USA,23,Kelsey Robinson,16,13,22,2,3,1,18
9,USA,25,Karsta Lowe,16,13,21,2,5,1,10
9,USA,10,Jordan Larson,12,11,24,0,4,1,18
9,USA,24,Chiaka Ogbogu,12,8,14,4,19,0,11
9,USA,11,Andrea Drews,3,3,10,0,1,0,3
9,USA,2,Jordyn Poulter,2,0,1,2,8,0,16
9,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
9,USA,6,Tetori Dixon,0,0,0,0,0,0,0
9,USA,7,Lauren Carlini,0,0,0,0,0,0,0
9,USA,14,Michelle Bartsch-Hackley,0,0,0,0,0,0,7
9,USA,15,Kimberly Hill,0,0,0,0,0,0,0
9,USA,17,Megan Courtney,0,0,0,0,0,0,0
9,USA,19,Hannah Tapp,0,0,0,0,0,0,0
15,USA,25,Karsta Lowe,22,20,44,1,7,1,15
15,USA,14,Michelle Bartsch-Hackley,21,14,34,5,13,2,15
15,USA,6,Tetori Dixon,12,7,12,4,24,1,19
15,USA,15,Kimberly Hill,10,10,25,0,6,0,14
15,USA,19,Hannah Tapp,9,7,14,0,13,2,15
15,USA,7,Lauren Carlini,5,2,3,3,13,0,14
15,USA,2,Jordyn Poulter,0,0,0,0,0,0,0
15,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
15,USA,10,Jordan Larson,0,0,0,0,0,0,0
15,USA,11,Andrea Drews,0,0,0,0,0,0,0
15,USA,17,Megan Courtney,0,0,0,0,0,0,0
15,USA,22,Haleigh Washington,0,0,0,0,0,0,0
15,USA,23,Kelsey Robinson,0,0,0,0,0,0,0
15,USA,24,Chiaka Ogbogu,0,0,0,0,0,0,0
21,USA,23,Kelsey Robinson,16,16,26,0,1,0,9
21,USA,10,Jordan Larson,14,9,19,1,7,4,17
21,USA,11,Andrea Drews,13,11,24,1,5,1,10
21,USA,22,Haleigh Washington,6,5,8,1,4,0,11
21,USA,2,Jordyn Poulter,5,1,1,2,5,2,16
21,USA,24,Chiaka Ogbogu,3,3,12,0,18,0,8
21,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
21,USA,6,Tetori Dixon,0,0,0,0,0,0,0
21,USA,7,Lauren Carlini,0,0,0,0,0,0,0
21,USA,14,Michelle Bartsch-Hackley,0,0,0,0,0,0,1
21,USA,15,Kimberly Hill,0,0,0,0,0,0,1
21,USA,17,Megan Courtney,0,0,0,0,0,0,0
21,USA,19,Hannah Tapp,0,0,0,0,0,0,0
21,USA,25,Karsta Lowe,0,0,0,0,0,0,0
29,USA,23,Kelsey Robinson,15,14,31,1,3,0,9
29,USA,11,Andrea Drews,14,12,27,2,12,0,6
29,USA,24,Chiaka Ogbogu,12,6,8,4,20,2,10
29,USA,22,Haleigh Washington,10,9,13,1,9,0,6
29,USA,10,Jordan Larson,8,8,18,0,0,0,10
29,USA,2,Jordyn Poulter,1,0,0,0,3,1,22
29,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
29,USA,6,Tetori Dixon,0,0,0,0,0,0,0
29,USA,7,Lauren Carlini,0,0,0,0,0,0,0
29,USA,14,Michelle Bartsch-Hackley,0,0,0,0,0,0,6
29,USA,15,Kimberly Hill,0,0,0,0,0,0,4
29,USA,17,Megan Courtney,0,0,0,0,0,0,0
29,USA,19,Hannah Tapp,0,0,0,0,0,0,0
29,USA,25,Karsta Lowe,0,0,0,0,0,0,0
36,USA,14,Michelle Bartsch-Hackley,30,26,46,3,7,1,18
36,USA,25,Karsta Lowe,18,17,37,1,9,0,5
36,USA,24,Chiaka Ogbogu,17,9,15,8,30,0,13
36,USA,23,Kelsey Robinson,14,13,41,1,5,0,17
36,USA,22,Haleigh Washington,9,5,13,3,19,1,15
36,USA,11,Andrea Drews,4,4,15,0,8,0,6
36,USA,2,Jordyn Poulter,2,1,2,1,6,0,28
36,USA,15,Kimberly Hill,1,1,5,0,0,0,5
36,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
36,USA,6,Tetori Dixon,0,0,0,0,0,0,0
36,USA,7,Lauren Carlini,0,0,0,0,0,0,0
36,USA,10,Jordan Larson,0,0,0,0,0,0,3
36,USA,17,Megan Courtney,0,0,0,0,0,0,0
36,USA,19,Hannah Tapp,0,0,0,0,0,0,0
40,USA,10,Jordan Larson,10,9,28,1,6,0,12
40,USA,25,Karsta Lowe,9,8,18,1,6,0,4
40,USA,24,Chiaka Ogbogu,7,5,10,2,4,0,5
40,USA,11,Andrea Drews,5,5,12,0,2,0,3
40,USA,22,Haleigh Washington,5,4,11,1,6,0,6
40,USA,23,Kelsey Robinson,5,5,17,0,1,0,5
40,USA,14,Michelle Bartsch-Hackley,3,3,11,0,0,0,2
40,USA,2,Jordyn Poulter,1,0,2,1,6,0,6
40,USA,6,Tetori Dixon,1,1,1,0,3,0,1
40,USA,7,Lauren Carlini,1,0,0,0,1,1,9
40,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
40,USA,15,Kimberly Hill,0,0,0,0,0,0,3
40,USA,17,Megan Courtney,0,0,0,0,0,0,0
40,USA,19,Hannah Tapp,0,0,0,0,0,0,0
44,USA,11,Andrea Drews,23,19,30,2,8,2,12
44,USA,24,Chiaka Ogbogu,12,8,17,4,10,0,7
44,USA,14,Michelle Bartsch-Hackley,11,9,26,1,4,1,9
44,USA,22,Haleigh Washington,8,3,8,2,6,3,14
44,USA,10,Jordan Larson,4,2,11,1,7,1,12
44,USA,23,Kelsey Robinson,4,3,5,0,0,1,5
44,USA,7,Lauren Carlini,1,0,3,1,2,0,13
44,USA,2,Jordyn Poulter,0,0,0,0,0,0,0
44,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
44,USA,6,Tetori Dixon,0,0,0,0,0,0,0
44,USA,15,Kimberly Hill,0,0,2,0,1,0,1
44,USA,17,Megan Courtney,0,0,0,0,0,0,0
44,USA,19,Hannah Tapp,0,0,0,0,0,0,0
44,USA,25,Karsta Lowe,0,0,0,0,0,0,0
53,USA,23,Kelsey Robinson,26,21,42,1,8,4,23
53,USA,11,Andrea Drews,22,19,45,1,11,2,13
53,USA,10,Jordan Larson,17,16,34,1,6,0,15
53,USA,22,Haleigh Washington,9,3,9,4,18,2,16
53,USA,6,Tetori Dixon,4,4,8,0,7,0,8
53,USA,2,Jordyn Poulter,2,1,5,0,7,1,22
53,USA,24,Chiaka Ogbogu,2,1,5,0,6,1,7
53,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
53,USA,7,Lauren Carlini,0,0,0,0,0,0,0
53,USA,14,Michelle Bartsch-Hackley,0,0,0,0,0,0,1
53,USA,15,Kimberly Hill,0,0,0,0,0,0,0
53,USA,17,Megan Courtney,0,0,0,0,0,0,0
53,USA,19,Hannah Tapp,0,0,0,0,0,0,0
53,USA,25,Karsta Lowe,0,0,0,0,0,0,0
57,USA,25,Karsta Lowe,18,14,22,3,8,1,13
57,USA,14,Michelle Bartsch-Hackley,13,11,25,2,9,0,9
57,USA,19,Hannah Tapp,13,8,13,4,12,1,7
57,USA,6,Tetori Dixon,10,7,10,2,11,1,14
57,USA,15,Kimberly Hill,8,7,18,1,3,0,7
57,USA,7,Lauren Carlini,3,1,2,1,3,1,23
57,USA,2,Jordyn Poulter,0,0,0,0,0,0,0
57,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
57,USA,10,Jordan Larson,0,0,0,0,0,0,0
57,USA,11,Andrea Drews,0,0,0,0,0,0,0
57,USA,17,Megan Courtney,0,0,0,0,0,0,0
57,USA,22,Haleigh Washington,0,0,0,0,0,0,0
57,USA,23,Kelsey Robinson,0,0,0,0,0,0,0
57,USA,24,Chiaka Ogbogu,0,0,0,0,0,0,0
61,USA,11,Andrea Drews,24,20,40,2,12,2,13
61,USA,24,Chiaka Ogbogu,16,8,13,7,22,1,8
61,USA,14,Michelle Bartsch-Hackley,12,9,19,0,6,3,25
61,USA,23,Kelsey Robinson,9,8,27,1,4,0,11
61,USA,7,Lauren Carlini,2,1,1,1,6,0,17
61,USA,22,Haleigh Washington,2,2,7,0,6,0,6
61,USA,2,Jordyn Poulter,0,0,0,0,0,0,0
61,USA,4,Justine Wong-Orantes,0,0,0,0,0,0,0
61,USA,6,Tetori Dixon,0,0,0,0,3,0,4
61,USA,10,Jordan Larson,0,0,3,0,0,0,0
61,USA,15,Kimberly Hill,0,0,0,0,0,0,6
61,USA,17,Megan Courtney,0,0,0,0,0,0,0
61,USA,19,Hannah Tapp,0,0,0,0,0,0,0
61,USA,25,Karsta Lowe,0,0,0,0,0,0,0
1,KEN,5,Sharon Chepchumba Kiprono,11,11,27,0,3,0,8
1,KEN,10,Noel Murambi,6,4,13,1,5,1,6
1,KEN,14,Mercy Moim,6,5,17,1,2,0,12
1,KEN,15,Lorine Chebet Kaei,5,3,8,2,5,0,3
1,KEN,7,Janet Wanja,2,2,3,0,1,0,7
1,KEN,8,Trizah Atuka,2,2,7,0,8,0,2
1,KEN,19,Edith Mukuvilani,2,2,4,0,2,0,4
1,KEN,3,Violet Makuto,1,0,3,0,1,1,4
1,KEN,1,Jane Wacu Wairimu,0,0,0,0,1,0,3
1,KEN,4,Leonida Kasaya,0,0,0,0,0,0,1
1,KEN,9,Elizabeth Wanyama,0,0,0,0,0,0,0
1,KEN,13,Carolyne Sirengo,0,0,0,0,0,0,0
1,KEN,16,Agripina Khayesi Kundu,0,0,0,0,0,0,0
1,KEN,18,Emmaculate Chemtai,0,0,0,0,0,0,0
7,KEN,14,Mercy Moim,8,6,17,2,4,0,10
7,KEN,3,Violet Makuto,7,4,9,1,1,2,8
7,KEN,5,Sharon Chepchumba Kiprono,6,6,18,0,0,0,4
7,KEN,4,Leonida Kasaya,5,4,8,1,3,0,8
7,KEN,8,Trizah Atuka,5,4,14,1,6,0,5
7,KEN,1,Jane Wacu Wairimu,1,1,1,0,0,0,3
7,KEN,7,Janet Wanja,1,0,1,0,0,1,4
7,KEN,10,Noel Murambi,1,1,7,0,0,0,1
7,KEN,19,Edith Mukuvilani,1,1,5,0,4,0,2
7,KEN,9,Elizabeth Wanyama,0,0,0,0,0,0,0
7,KEN,13,Carolyne Sirengo,0,0,0,0,0,0,0
7,KEN,15,Lorine Chebet Kaei,0,0,0,0,1,0,3
7,KEN,16,Agripina Khayesi Kundu,0,0,0,0,0,0,0
7,KEN,18,Emmaculate Chemtai,0,0,4,0,0,0,2
13,KEN,5,Sharon Chepchumba Kiprono,8,7,26,1,6,0,3
13,KEN,19,Edith Mukuvilani,7,5,9,2,11,0,4
13,KEN,14,Mercy Moim,5,4,19,1,5,0,6
13,KEN,4,Leonida Kasaya,4,4,15,0,1,0,3
13,KEN,3,Violet Makuto,2,2,4,0,2,0,5
13,KEN,8,Trizah Atuka,2,1,6,1,4,0,4
13,KEN,10,Noel Murambi,2,2,3,0,1,0,4
13,KEN,15,Lorine Chebet Kaei,1,1,4,0,2,0,1
13,KEN,18,Emmaculate Chemtai,1,0,4,0,0,1,2
13,KEN,1,Jane Wacu Wairimu,0,0,0,0,4,0,5
13,KEN,7,Janet Wanja,0,0,0,0,0,0,3
13,KEN,9,Elizabeth Wanyama,0,0,0,0,0,0,0
13,KEN,13,Carolyne Sirengo,0,0,0,0,0,0,3
13,KEN,16,Agripina Khayesi Kundu,0,0,0,0,0,0,0
23,KEN,14,Mercy Moim,9,7,27,2,2,0,8
23,KEN,5,Sharon Chepchumba Kiprono,8,7,24,0,2,1,7
23,KEN,19,Edith Mukuvilani,8,7,12,1,17,0,9
23,KEN,4,Leonida Kasaya,7,7,18,0,4,0,4
23,KEN,8,Trizah Atuka,4,4,11,0,13,0,9
23,KEN,10,Noel Murambi,4,3,15,1,2,0,4
23,KEN,3,Violet Makuto,1,0,6,1,1,0,2
23,KEN,1,Jane Wacu Wairimu,0,0,4,0,3,0,4
23,KEN,7,Janet Wanja,0,0,3,0,1,0,5
23,KEN,9,Elizabeth Wanyama,0,0,0,0,0,0,0
23,KEN,13,Carolyne Sirengo,0,0,0,0,0,0,0
23,KEN,15,Lorine Chebet Kaei,0,0,0,0,2,0,0
23,KEN,16,Agripina Khayesi Kundu,0,0,0,0,0,0,0
23,KEN,18,Emmaculate Chemtai,0,0,1,0,1,0,0
27,KEN,5,Sharon Chepchumba Kiprono,10,10,21,0,8,0,4
27,KEN,15,Lorine Chebet Kaei,7,5,12,1,9,1,7
27,KEN,4,Leonida Kasaya,6,6,18,0,5,0,7
27,KEN,14,Mercy Moim,6,5,12,1,3,0,5
27,KEN,7,Janet Wanja,4,3,4,0,0,1,5
27,KEN,19,Edith Mukuvilani,2,2,9,0,4,0,8
27,KEN,1,Jane Wacu Wairimu,1,0,1,0,0,1,5
27,KEN,3,Violet Makuto,1,1,2,0,0,0,2
27,KEN,10,Noel Murambi,1,1,6,0,0,0,1
27,KEN,8,Trizah Atuka,0,0,2,0,0,0,2
27,KEN,9,Elizabeth Wanyama,0,0,0,0,0,0,0
27,KEN,13,Carolyne Sirengo,0,0,0,0,0,0,3
27,KEN,16,Agripina Khayesi Kundu,0,0,0,0,0,0,0
27,KEN,18,Emmaculate Chemtai,0,0,0,0,0,0,0
32,KEN,4,Leonida Kasaya,12,12,27,0,2,0,5
32,KEN,5,Sharon Chepchumba Kiprono,9,7,20,0,1,2,7
32,KEN,14,Mercy Moim,6,6,15,0,3,0,6
32,KEN,3,Violet Makuto,5,4,8,0,1,1,6
32,KEN,15,Lorine Chebet Kaei,4,1,7,2,6,1,7
32,KEN,19,Edith Mukuvilani,4,1,9,3,10,0,4
32,KEN,10,Noel Murambi,2,2,14,0,3,0,5
32,KEN,7,Janet Wanja,1,0,0,0,1,1,6
32,KEN,1,Jane Wacu Wairimu,0,0,0,0,1,0,5
32,KEN,8,Trizah Atuka,0,0,5,0,1,0,5
32,KEN,9,Elizabeth Wanyama,0,0,0,0,0,0,0
32,KEN,13,Carolyne Sirengo,0,0,0,0,0,0,0
32,KEN,16,Agripina Khayesi Kundu,0,0,0,0,0,0,0
32,KEN,18,Emmaculate Chemtai,0,0,0,0,0,0,0
42,KEN,19,Edith Mukuvilani,13,11,17,1,13,1,11
42,KEN,4,Leonida Kasaya,11,10,30,1,3,0,10
42,KEN,5,Sharon Chepchumba Kiprono,7,5,20,2,9,0,3
42,KEN,14,Mercy Moim,7,4,13,3,4,0,6
42,KEN,3,Violet Makuto,4,3,7,1,9,0,8
42,KEN,1,Jane Wacu Wairimu,2,2,2,0,1,0,7
42,KEN,10,Noel Murambi,2,2,6,0,1,0,4
42,KEN,8,Trizah Atuka,1,1,2,0,1,0,1
42,KEN,7,Janet Wanja,0,0,1,0,0,0,5
42,KEN,9,Elizabeth Wanyama,0,0,0,0,0,0,0
42,KEN,13,Carolyne Sirengo,0,0,0,0,0,0,0
42,KEN,15,Lorine Chebet Kaei,0,0,0,0,1,0,2
42,KEN,16,Agripina Khayesi Kundu,0,0,0,0,0,0,0
42,KEN,18,Emmaculate Chemtai,0,0,3,0,4,0,4
46,KEN,5,Sharon Chepchumba Kiprono,10,8,23,1,3,1,6
46,KEN,4,Leonida Kasaya,7,7,23,0,3,0,3
46,KEN,14,Mercy Moim,7,5,16,0,0,2,9
46,KEN,10,Noel Murambi,4,4,11,0,1,0,3
46,KEN,19,Edith Mukuvilani,3,3,8,0,6,0,4
46,KEN,3,Violet Makuto,1,1,5,0,3,0,4
46,KEN,13,Carolyne Sirengo,1,1,1,0,0,0,0
46,KEN,1,Jane Wacu Wairimu,0,0,0,0,0,0,4
46,KEN,7,Janet Wanja,0,0,1,0,0,0,4
46,KEN,8,Trizah Atuka,0,0,1,0,1,0,1
46,KEN,9,Elizabeth Wanyama,0,0,0,0,0,0,0
46,KEN,15,Lorine Chebet Kaei,0,0,2,0,0,0,2
46,KEN,16,Agripina Khayesi Kundu,0,0,0,0,0,0,0
46,KEN,18,Emmaculate Chemtai,0,0,1,0,0,0,0
49,KEN,5,Sharon Chepchumba Kiprono,10,10,18,0,5,0,7
49,KEN,4,Leonida Kasaya,8,6,25,1,10,1,8
49,KEN,8,Trizah Atuka,8,6,11,2,8,0,9
49,KEN,19,Edith Mukuvilani,7,5,11,2,8,0,5
49,KEN,7,Janet Wanja,2,0,0,0,2,2,8
49,KEN,14,Mercy Moim,2,1,5,0,2,1,13
49,KEN,1,Jane Wacu Wairimu,0,0,0,0,2,0,3
49,KEN,3,Violet Makuto,0,0,0,0,0,0,1
49,KEN,9,Elizabeth Wanyama,0,0,0,0,0,0,0
49,KEN,10,Noel Murambi,0,0,4,0,0,0,0
49,KEN,13,Carolyne Sirengo,0,0,0,0,0,0,0
49,KEN,15,Lorine Chebet Kaei,0,0,0,0,0,0,0
49,KEN,16,Agripina Khayesi Kundu,0,0,0,0,0,0,0
49,KEN,18,Emmaculate Chemtai,0,0,0,0,0,0,0
59,KEN,4,Leonida Kasaya,10,10,25,0,2,0,11
59,KEN,8,Trizah Atuka,8,5,14,0,7,3,13
59,KEN,19,Edith Mukuvilani,8,7,19,1,11,0,9
59,KEN,14,Mercy Moim,7,5,11,0,3,2,10
59,KEN,5,Sharon Chepchumba Kiprono,5,5,14,0,2,0,6
59,KEN,1,Jane Wacu Wairimu,2,2,3,0,1,0,8
59,KEN,3,Violet Makuto,2,1,2,1,1,0,2
59,KEN,7,Janet Wanja,0,0,0,0,1,0,1
59,KEN,9,Elizabeth Wanyama,0,0,0,0,0,0,0
59,KEN,10,Noel Murambi,0,0,4,0,1,0,1
59,KEN,13,Carolyne Sirengo,0,0,0,0,0,0,0
59,KEN,15,Lorine Chebet Kaei,0,0,0,0,0,0,0
59,KEN,16,Agripina Khayesi Kundu,0,0,0,0,0,0,0
59,KEN,18,Emmaculate Chemtai,0,0,0,0,0,0,0
65,KEN,14,Mercy Moim,19,15,23,3,6,1,12
65,KEN,5,Sharon Chepchumba Kiprono,18,18,40,0,7,0,9
65,KEN,8,Trizah Atuka,12,7,13,5,15,0,12
65,KEN,19,Edith Mukuvilani,10,9,18,1,7,0,11
65,KEN,10,Noel Murambi,7,5,17,1,6,1,17
65,KEN,4,Leonida Kasaya,2,2,9,0,0,0,2
65,KEN,1,Jane Wacu Wairimu,1,1,5,0,4,0,17
65,KEN,15,Lorine Chebet Kaei,1,1,1,0,1,0,1
65,KEN,3,Violet Makuto,0,0,2,0,1,0,6
65,KEN,7,Janet Wanja,0,0,1,0,2,0,2
65,KEN,9,Elizabeth Wanyama,0,0,0,0,0,0,0
65,KEN,13,Carolyne Sirengo,0,0,0,0,0,0,0
65,KEN,16,Agripina Khayesi Kundu,0,0,0,0,0,0,0
65,KEN,18,Emmaculate Chemtai,0,0,0,0,0,0,0
2,CMR,2,Christelle Tchoudjang Nana,9,8,21,0,5,1,8
2,CMR,16,Estelle Adiana,5,4,8,1,3,0,3
2,CMR,1,Stephanie Fotso Mogoung,4,1,7,3,11,0,5
2,CMR,6,Laetitia Crescence Moma Bassoko,4,4,23,0,0,0,8
2,CMR,10,Berthrade Simone Flore Bikatal,2,1,4,1,1,0,2
2,CMR,11,Adetutu Sherilyn Adedayo Oghale Bashorun,2,2,3,0,2,0,7
2,CMR,9,Honorine Djakao Gamkoua,1,0,2,1,1,0,2
2,CMR,4,Raissa Nasser,0,0,0,0,0,0,0
2,CMR,5,Paule Arielle Olomo,0,0,0,0,0,0,0
2,CMR,12,Abdoulkarim Fawziya,0,0,2,0,0,0,1
2,CMR,14,Yolande Juliana Amana Guigolo,0,0,1,0,0,0,3
2,CMR,15,Ezssi Emelda Piata,0,0,0,0,2,0,2
2,CMR,18,Odette Ahirnidi Menkred,0,0,0,0,0,0,0
8,CMR,16,Estelle Adiana,10,10,13,0,2,0,2
8,CMR,6,Laetitia Crescence Moma Bassoko,9,8,21,0,5,1,6
8,CMR,2,Christelle Tchoudjang Nana,8,5,17,3,4,0,7
8,CMR,11,Adetutu Sherilyn Adedayo Oghale Bashorun,7,5,7,1,9,1,8
8,CMR,10,Berthrade Simone Flore Bikatal,5,5,14,0,4,0,7
8,CMR,1,Stephanie Fotso Mogoung,3,3,7,0,3,0,7
8,CMR,9,Honorine Djakao Gamkoua,1,1,3,0,0,0,1
8,CMR,14,Yolande Juliana Amana Guigolo,1,0,2,0,1,1,6
8,CMR,15,Ezssi Emelda Piata,1,0,3,0,2,1,8
8,CMR,4,Raissa Nasser,0,0,0,0,0,0,0
8,CMR,5,Paule Arielle Olomo,0,0,0,0,0,0,0
8,CMR,12,Abdoulkarim Fawziya,0,0,0,0,0,0,0
8,CMR,18,Odette Ahirnidi Menkred,0,0,0,0,0,0,0
14,CMR,6,Laetitia Crescence Moma Bassoko,26,24,54,1,8,1,12
14,CMR,1,Stephanie Fotso Mogoung,16,10,25,4,18,2,16
14,CMR,2,Christelle Tchoudjang Nana,12,12,44,0,6,0,19
14,CMR,10,Berthrade Simone Flore Bikatal,8,7,26,0,6,1,16
14,CMR,11,Adetutu Sherilyn Adedayo Oghale Bashorun,8,5,9,2,14,1,17
14,CMR,20,Ruth Manuela Marie Bibinbe,2,1,1,1,1,0,0
14,CMR,12,Abdoulkarim Fawziya,1,1,2,0,0,0,0
14,CMR,16,Estelle Adiana,1,1,5,0,1,0,1
14,CMR,4,Raissa Nasser,0,0,0,0,0,0,0
14,CMR,9,Honorine Djakao Gamkoua,0,0,0,0,2,0,4
14,CMR,14,Yolande Juliana Amana Guigolo,0,0,4,0,5,0,9
14,CMR,15,Ezssi Emelda Piata,0,0,2,0,0,0,3
14,CMR,18,Odette Ahirnidi Menkred,0,0,0,0,0,0,0
24,CMR,6,Laetitia Crescence Moma Bassoko,16,16,38,0,4,0,9
24,CMR,2,Christelle Tchoudjang Nana,7,6,19,1,6,0,12
24,CMR,11,Adetutu Sherilyn Adedayo Oghale Bashorun,5,2,11,3,7,0,10
24,CMR,10,Berthrade Simone Flore Bikatal,4,4,14,0,3,0,5
24,CMR,15,Ezssi Emelda Piata,3,0,5,3,4,0,1
24,CMR,1,Stephanie Fotso Mogoung,2,2,5,0,5,0,8
24,CMR,12,Abdoulkarim Fawziya,2,2,8,0,1,0,2
24,CMR,14,Yolande Juliana Amana Guigolo,1,0,0,0,3,1,5
24,CMR,16,Estelle Adiana,1,1,5,0,2,0,1
24,CMR,4,Raissa Nasser,0,0,0,0,0,0,0
24,CMR,5,Paule Arielle Olomo,0,0,0,0,0,0,0
24,CMR,9,Honorine Djakao Gamkoua,0,0,0,0,2,0,1
24,CMR,18,Odette Ahirnidi Menkred,0,0,0,0,0,0,0
24,CMR,20,Ruth Manuela Marie Bibinbe,0,0,0,0,1,0,1
28,CMR,6,Laetitia Crescence Moma Bassoko,14,14,26,0,4,0,11
28,CMR,2,Christelle Tchoudjang Nana,5,5,21,0,6,0,6
28,CMR,12,Abdoulkarim Fawziya,5,4,12,1,5,0,7
28,CMR,15,Ezssi Emelda Piata,5,4,8,1,8,0,9
28,CMR,16,Estelle Adiana,4,2,4,0,1,2,5
28,CMR,1,Stephanie Fotso Mogoung,2,2,4,0,4,0,3
